學校代碼,學校名稱,lat,lng
563301,市立新興高中,22.6243825,120.3041272
573301,市立高雄女中,22.6212858,120.2928418
580301,國立高師大附中,22.6260694,120.3222549
581301,私立復華高中,22.621182,120.313424
581302,天主教道明中學,22.6338273,120.3228343
583301,市立中正高中,25.1041727,121.5166212
593301,市立前鎮高中,22.5879884,120.3192383
593302,市立瑞祥高中,22.6016779,120.3248846
613301,市立小港高中,22.5644955,120.3567887
710301,國立金門高中,24.4349442,118.3137113
720301,國立馬祖高中,26.1544475,119.9498791
11405,私立樹人家商,24.994468,121.4192578
11407,私立復興商工,25.003454,121.518399
11408,私立南強工商,24.9808412,121.5448562
11413,私立穀保家商,25.0693157,121.4710759
11419,私立開明工商,24.9800534,121.5462266
11420,私立智光商工,24.9956844,121.5142997
11421,私立清傳高商,25.0520106,121.4768683
11426,私立能仁家商,24.9579932,121.5401745
11427,私立豫章工商,24.9972245,121.4590085
11431,私立莊敬工家,24.98555,121.5320166
11432,私立中華商海,25.1774912,121.6860542
13402,市立瑞芳高工,25.1107886,121.8036958
13430,市立三重商工,25.0693564,121.481217
13433,市立新北高工,24.9824,121.4513028
13434,市立淡水商工,25.1873489,121.454254
14439,市立鶯歌工商,24.9393742,121.3351073
14468,市立樟樹國際實中,25.0659397,121.6398933
20403,國立宜蘭高商,24.7552719,121.7654572
20404,國立羅東高商,24.6726722,121.756686
20405,國立蘇澳海事,24.594231,121.8445872
20407,國立羅東高工,24.6704012,121.7512832
20409,國立頭城家商,24.8513546,121.8160472
30403,國立北科大附屬桃園農工,24.9952277,121.3206408
31414,私立成功工商,24.9888384,121.3411664
31415,私立方曙商工,24.8579318,121.2008338
31421,私立永平工商,24.919795,121.17523
33407,市立中壢高商,24.962135,121.214913
33408,市立中壢家商,24.962135,121.214913
41401,私立內思高工,24.828444,121.0824601
50401,國立大湖農工,24.4211342,120.8612213
50404,國立苗栗農工,24.5564627,120.834069
50407,國立苗栗高商,24.5570318,120.8152979
51408,私立中興商工,24.6879837,120.8725771
51411,私立育民工家,24.5380764,120.8130589
51412,私立賢德工商,24.4754734,120.6753088
51413,私立龍德家商,24.4286716,120.6439174
63401,市立豐原高商,24.245781,120.7129446
63402,市立大甲高工,24.3465387,120.6399356
63404,市立東勢高工,24.2423422,120.8343503
63407,市立沙鹿高工,24.2386696,120.565676
63408,市立霧峰農工,24.0731392,120.6998281
64406,市立神岡高工,24.246864,120.681939
70401,國立彰師附工,24.0825769,120.5559702
70402,國立永靖高工,23.9261111,120.5455556
70403,國立二林工商,23.9011139,120.3774756
70405,國立秀水高工,24.0344699,120.499007
70406,國立彰化高商,24.0729394,120.5531255
70408,國立員林農工,23.9545613,120.5818258
70409,國立員林崇實高工,23.9611258,120.5748453
70410,國立員林家商,23.9503771,120.576024
70415,國立北斗家商,23.8783142,120.5224644
71413,私立大慶商工,23.9481636,120.6010439
71414,私立達德商工,23.852614,120.608405
80401,國立仁愛高農,24.021123,121.133602
80403,國立埔里高工,23.9719852,120.9778465
80404,國立南投高商,23.9035545,120.6845134
80406,國立草屯商工,23.9952977,120.6657122
80410,國立水里商工,23.8050576,120.8531811
81409,南投縣同德高中,23.99842,120.695346
90401,國立虎尾農工,23.7148646,120.4365681
90402,國立西螺農工,23.7945462,120.4683819
90403,國立斗六家商,23.7073983,120.5468819
90404,國立北港農工,23.5794171,120.3078728
90413,國立土庫商工,23.6724499,120.3877409
91410,私立大成商工,23.71066,120.4454154
91414,私立大德工商,23.6849601,120.472107
100402,國立民雄農工,23.5390792,120.4262305
101405,私立協志工商,23.5492506,120.4309573
101406,私立萬能工商,23.4310788,120.3909258
110401,國立新化高工,23.0382113,120.3186639
110403,國立白河商工,23.353023,120.41629
110404,國立北門農工,23.1760031,120.1808703
110405,國立曾文家商,23.179107,120.2458479
110406,國立新營高工,23.3132131,120.3172437
110407,國立玉井工商,23.1200355,120.4598153
110409,國立臺南高工,23.014539,120.2336054
110410,國立曾文農工,23.1871927,120.2631909
111419,私立陽明工商,23.1920689,120.3287761
111427,私立育德工家,23.3161758,120.3118299
120401,國立旗山農工,22.900965,120.48276
120402,國立岡山農工,22.8021759,120.2897251
120409,國立鳳山商工,22.634032,120.3579315
121405,私立中山工商,22.600589,120.393324
121410,私立旗美商工,22.884854,120.5195241
121413,私立高英工商,22.5941731,120.3999596
121415,私立華德工家,22.9074481,120.1811627
121417,私立高苑工商,22.758928,120.2909505
130401,國立內埔農工,22.707455,120.640759
130403,國立屏東高工,22.663264,120.4866854
130404,國立佳冬高農,22.4128213,120.5639292
130410,國立東港海事,22.4652659,120.4419585
130417,國立恆春工商,21.9927817,120.7468812
131409,私立民生家商,22.6587044,120.5138436
131418,私立日新工商,22.556566,120.5362275
140404,國立關山工商,23.0474168,121.1590111
140405,國立臺東高商,22.7573451,121.1448649
140408,國立成功商水,23.1059648,121.3824325
141406,私立公東高工,22.767126,121.1350105
150401,國立花蓮高農,23.984087,121.5991057
150404,國立花蓮高工,23.9986012,121.6205213
150405,國立花蓮高商,23.9863576,121.6022768
150411,國立光復商工,23.66717,121.427342
151410,花蓮縣上騰工商,23.9720191,121.5588648
160401,國立澎湖海事水產,23.5702986,119.5653356
170403,國立海洋大學附屬基隆海事,25.147706,121.771736
170404,國立基隆商工,25.0941889,121.7173003
171405,私立光隆家商,25.129899,121.749759
171407,私立培德工家,25.1298359,121.771327
180403,國立新竹高商,24.7968761,120.986653
180404,國立新竹高工,24.8093963,120.9829614
190406,國立興大附農,24.1286217,120.6851031
191412,財團法人光華高工,24.1380353,120.7364363
193404,市立臺中家商,24.133498,120.684587
193407,市立臺中高工,24.1133614,120.6614906
200401,國立華南高商,23.4784199,120.4592511
200405,國立嘉義高工,23.4713743,120.464588
200406,國立嘉義高商,23.4824119,120.4624409
200407,國立嘉義家職,23.4716168,120.4587285
201408,私立東吳工家,23.4688064,120.460471
210408,國立臺南高商,22.9812227,120.2023948
210416,國立臺南海事,22.9936178,120.1516513
211407,私立南英商工,22.9861239,120.1996235
211412,私立亞洲餐旅,22.9749246,120.2029425
211419,私立慈幼工商,22.9893311,120.2397489
311401,臺北市普林思頓高中,25.0498769,121.5540993
323401,市立松山家商,25.0350498,121.5806133
323402,市立松山工農,25.039982,121.572258
331402,私立東方工商,25.0322561,121.5514468
331403,私立喬治工商,25.0259066,121.5545048
331404,私立開平餐飲,25.0285456,121.5423269
333401,市立大安高工,25.0320189,121.5430425
341402,私立稻江護家,25.0655224,121.5288056
