"","Estimate","Std. Error","t value","Pr(>|t|)"
"是否為店面TRUE:週數差-290",418.258925107476,126.283777754791,3.31205585185788,0.000926634803985195
"是否為店面TRUE:週數差-289",57.5411932553565,115.151343654848,0.499700580375589,0.617287613192006
"是否為店面TRUE:週數差-288",-74.7450043737667,132.556387514625,-0.563873275178988,0.572842322111347
"是否為店面TRUE:週數差-287",174.413956158835,107.761192854813,1.61852287951027,0.105554806174466
"是否為店面TRUE:週數差-286",214.194807662555,115.467354574493,1.8550248115745,0.0635972027264438
"是否為店面TRUE:週數差-285",152.537811796617,104.873718557007,1.45449035178151,0.145815229343042
"是否為店面TRUE:週數差-284",344.164374034195,109.152776766444,3.15305193536771,0.00161646424776377
"是否為店面TRUE:週數差-283",113.878431064854,112.993741081092,1.00782954856878,0.313540045026984
"是否為店面TRUE:週數差-282",321.416315193704,115.17386012754,2.79070541560192,0.00526086239790584
"是否為店面TRUE:週數差-281",-32.2375588972737,114.878192564838,-0.280623834493903,0.778999825094923
"是否為店面TRUE:週數差-280",175.373240953031,132.895891388456,1.319628764447,0.18696363652076
"是否為店面TRUE:週數差-279",36.9047421552643,141.66495708896,0.260507205971125,0.794473381815706
"是否為店面TRUE:週數差-278",-60.8348613558905,110.895205882655,-0.548579723277341,0.583295786063608
"是否為店面TRUE:週數差-277",215.983046061875,115.073116785239,1.87692010172076,0.0605335155685435
"是否為店面TRUE:週數差-276",153.120139567716,114.770823448785,1.33413819790223,0.182163237741178
"是否為店面TRUE:週數差-274",-51.8826241650508,132.925397780691,-0.390313852967739,0.69630575837069
"是否為店面TRUE:週數差-273",40.9935205891854,107.092978251615,0.382784392202362,0.701880885106574
"是否為店面TRUE:週數差-272",86.7810715615566,107.267752427822,0.809013609378549,0.418510275790837
"是否為店面TRUE:週數差-271",54.032682651349,114.662198657782,0.471233617389576,0.637475494124137
"是否為店面TRUE:週數差-270",-142.837183989512,105.641592392106,-1.35209230337373,0.176350487844364
"是否為店面TRUE:週數差-269",-65.4499946720004,114.464699992768,-0.571791955739502,0.567464902601525
"是否為店面TRUE:週數差-268",-65.0077682927344,105.535935609624,-0.615977561739705,0.537911483444138
"是否為店面TRUE:週數差-267",15.0695061240946,132.659654888434,0.113595245945483,0.909559006548909
"是否為店面TRUE:週數差-266",200.578310102305,107.10396915117,1.87274394863185,0.0611082311722081
"是否為店面TRUE:週數差-265",245.029971232041,121.044579205741,2.02429528723927,0.0429438547173963
"是否為店面TRUE:週數差-264",172.807343464379,110.518694890956,1.56360282425412,0.117915733596075
"是否為店面TRUE:週數差-263",534.769718082768,107.012791156771,4.99725044363476,5.83039862679841e-07
"是否為店面TRUE:週數差-262",495.859337326132,117.781864523054,4.20998036781017,2.55735358511134e-05
"是否為店面TRUE:週數差-261",-97.2729904083321,108.838797313559,-0.893734521230451,0.371467255448131
"是否為店面TRUE:週數差-260",141.894601593772,117.796002488269,1.20457909094074,0.228370213215247
"是否為店面TRUE:週數差-259",476.546179856228,107.490356755604,4.43338541465379,9.29163373873837e-06
"是否為店面TRUE:週數差-258",211.673566719223,115.070892420311,1.83950573656854,0.0658453870948444
"是否為店面TRUE:週數差-257",397.982680586583,110.222907066923,3.61070753055846,0.000305592165943286
"是否為店面TRUE:週數差-256",71.7539630011755,125.969021320923,0.569615944053204,0.56894017814017
"是否為店面TRUE:週數差-255",102.536918262165,110.154700072497,0.930844695638779,0.351937358699567
"是否為店面TRUE:週數差-254",175.620189729265,121.672083896203,1.44338934705092,0.148915636766154
"是否為店面TRUE:週數差-253",61.2271672711824,108.670829579823,0.563418605599293,0.573151811971756
"是否為店面TRUE:週數差-252",54.8651435548136,107.238700616762,0.511617011762245,0.60892081300374
"是否為店面TRUE:週數差-251",-92.5977298632988,121.309081457383,-0.763320674353877,0.445274942267157
"是否為店面TRUE:週數差-250",548.899943236494,108.698527204766,5.04974591056304,4.43589876650374e-07
"是否為店面TRUE:週數差-249",-153.344475312589,115.072850521669,-1.33258604977126,0.182672351370236
"是否為店面TRUE:週數差-248",453.81391712001,109.207176972874,4.15553198699324,3.24945707323787e-05
"是否為店面TRUE:週數差-247",230.094034312428,125.945516970504,1.82693310446544,0.0677144059067592
"是否為店面TRUE:週數差-246",139.073377974153,114.562105553151,1.21395619696978,0.224768856817277
"是否為店面TRUE:週數差-245",815.00188561595,110.554851741509,7.37192328312761,1.70172182302318e-13
"是否為店面TRUE:週數差-244",83.0871860092936,122.051313652883,0.680756179696644,0.496028203782299
"是否為店面TRUE:週數差-243",-45.3470613326828,121.630907812422,-0.37282514903709,0.709279798150511
"是否為店面TRUE:週數差-242",-200.287422198847,121.669690500633,-1.64615707802597,0.0997362523562652
"是否為店面TRUE:週數差-241",10.8328388943147,112.454568283509,0.0963308032716293,0.923258143991956
"是否為店面TRUE:週數差-240",294.875701570614,117.915105744027,2.50074576713468,0.0123956493948861
"是否為店面TRUE:週數差-239",309.965764188917,110.655201692138,2.80118566004059,0.00509302389290393
"是否為店面TRUE:週數差-238",13.1331061088289,112.827292073963,0.116400082528078,0.907335829162007
"是否為店面TRUE:週數差-237",64.001772740147,114.909054745429,0.556977627933129,0.577544630092216
"是否為店面TRUE:週數差-236",-96.510823196281,111.189851818473,-0.867982298904788,0.385407223640072
"是否為店面TRUE:週數差-235",459.010160138509,102.879809713136,4.46161556303793,8.14801881666316e-06
"是否為店面TRUE:週數差-234",297.551850257773,126.321171998781,2.35551844199676,0.0184998290505556
"是否為店面TRUE:週數差-233",111.41890759901,110.353005413087,1.00965902271473,0.312662435026975
"是否為店面TRUE:週數差-232",149.82433326548,141.646922044004,1.05773094892197,0.290182047416629
"是否為店面TRUE:週數差-231",-24.4497492063436,132.778847603786,-0.184138886935531,0.853905074405834
"是否為店面TRUE:週數差-230",248.594158424166,132.418005061013,1.87734408405884,0.0604754191046509
"是否為店面TRUE:週數差-229",-140.819271399866,141.377396883837,-0.996052229732105,0.319228472047436
"是否為店面TRUE:週數差-228",264.529024208917,117.894635277997,2.2437749061707,0.0248502361917688
"是否為店面TRUE:週數差-227",493.175995212755,122.112376112419,4.038706074794,5.38084187596027e-05
"是否為店面TRUE:週數差-226",-92.1369607329693,132.323101592267,-0.696302910257309,0.486241637806245
"是否為店面TRUE:週數差-225",381.575730584588,121.55844383092,3.13903105830587,0.00169583199515763
"是否為店面TRUE:週數差-224",915.861848045426,239.645102291606,3.82174239860317,0.000132635252746141
"是否為店面TRUE:週數差-223",-8.20240139649456,118.210091038822,-0.0693883349924902,0.944680727059912
"是否為店面TRUE:週數差-222",-5.99405958625268,132.306484558867,-0.0453043522865712,0.963864857384029
"是否為店面TRUE:週數差-221",74.1378094308385,132.058327552145,0.561402001714463,0.574525452892018
"是否為店面TRUE:週數差-220",-94.9633654290776,112.723192556594,-0.842447443824842,0.39954064202052
"是否為店面TRUE:週數差-219",804.926378212867,110.623901746538,7.2762428869768,3.47099315571699e-13
"是否為店面TRUE:週數差-218",-30.7777869135865,114.800280591824,-0.268098533861757,0.788624324067318
"是否為店面TRUE:週數差-217",159.854241851433,101.405913455188,1.5763798816533,0.114943142725912
"是否為店面TRUE:週數差-216",350.574746115093,106.743871468172,3.28426111301037,0.00102304104405536
"是否為店面TRUE:週數差-215",291.500465345472,114.661030472641,2.5422801813649,0.0110154820518724
"是否為店面TRUE:週數差-214",131.009772287902,117.618588237745,1.11385261675722,0.265346533609943
"是否為店面TRUE:週數差-213",-105.675144122852,125.885893335563,-0.839451834695752,0.401218890418343
"是否為店面TRUE:週數差-212",74.3431072945444,121.366643522869,0.612549751205204,0.540176232494616
"是否為店面TRUE:週數差-211",493.497359304486,141.151731396784,3.4962189582871,0.00047221547850271
"是否為店面TRUE:週數差-210",133.558229451339,126.26016342917,1.05780181035695,0.290149733677116
"是否為店面TRUE:週數差-209",592.712877533856,107.107913306662,5.53379166146999,3.14584836859779e-08
"是否為店面TRUE:週數差-208",-27.239466366674,114.830686830907,-0.237214172608629,0.812491388605342
"是否為店面TRUE:週數差-207",-96.1263315542419,132.58093939871,-0.725038847893224,0.468430805136151
"是否為店面TRUE:週數差-206",-36.0835435416649,155.01626358429,-0.232772631124891,0.815938698424871
"是否為店面TRUE:週數差-205",60.8505340007544,108.62815265187,0.56017277763866,0.575363521438463
"是否為店面TRUE:週數差-204",48.2457645560658,108.965197754925,0.442763061510484,0.657938595548232
"是否為店面TRUE:週數差-203",227.202045266281,106.855814353306,2.12624878338454,0.0334863030354512
"是否為店面TRUE:週數差-202",-30.191209811105,112.847108673765,-0.267540836144824,0.789053624790714
"是否為店面TRUE:週數差-201",-130.394219401094,112.53313512829,-1.15871844548223,0.246575221497679
"是否為店面TRUE:週數差-200",-57.6558572425107,121.368550492091,-0.475047753382109,0.634754530975145
"是否為店面TRUE:週數差-199",431.068943304797,125.872125421444,3.4246576981321,0.000615953921137533
"是否為店面TRUE:週數差-198",-148.426467269028,114.773723634428,-1.29320947834532,0.195943208820722
"是否為店面TRUE:週數差-197",71.6968228820611,109.107704326873,0.657119708680394,0.511106271064923
"是否為店面TRUE:週數差-196",126.614683314039,110.603977759769,1.14475705014015,0.252314021622932
"是否為店面TRUE:週數差-195",-233.298182168821,179.567633360912,-1.29922179071056,0.193872428075261
"是否為店面TRUE:週數差-194",29.5326880863096,121.275902207248,0.243516539962252,0.807606041216577
"是否為店面TRUE:週數差-193",53.5935108717342,109.323536130266,0.490228479326481,0.62397388295739
"是否為店面TRUE:週數差-192",50.4946624009391,117.883245244034,0.428344692211422,0.668401602798151
"是否為店面TRUE:週數差-191",-58.7633385235013,117.735835615854,-0.499111746361008,0.61770235003042
"是否為店面TRUE:週數差-190",278.67181479487,121.458283193892,2.29438295575122,0.0217716800144399
"是否為店面TRUE:週數差-189",-13.1491399685133,126.463399851117,-0.103975853756846,0.917188831006573
"是否為店面TRUE:週數差-188",19.1276593982148,115.7172886283,0.165296470604799,0.868711150090508
"是否為店面TRUE:週數差-187",2.90862990351532,110.605639195386,0.0262973020604961,0.979020287444153
"是否為店面TRUE:週數差-186",-13.7800655887493,126.583532772064,-0.108861439454078,0.913312727309826
"是否為店面TRUE:週數差-185",-37.2487541998031,105.03993051156,-0.354615183182206,0.722879049001263
"是否為店面TRUE:週數差-184",174.632741114492,115.111163791507,1.5170791030381,0.129251570873352
"是否為店面TRUE:週數差-183",25.0043540240529,106.384955755047,0.235036559883766,0.814181096727005
"是否為店面TRUE:週數差-182",106.999025510955,112.621335046227,0.950077758064539,0.342076272004544
"是否為店面TRUE:週數差-181",85.6348570888983,103.071130767053,0.830832614832158,0.406071243162423
"是否為店面TRUE:週數差-180",174.543834224161,118.252784310122,1.47602304032363,0.139942545393999
"是否為店面TRUE:週數差-179",91.1576625528604,115.52515147954,0.789072001944138,0.430072799443994
"是否為店面TRUE:週數差-178",-41.6498395653363,141.390648132715,-0.294572803190223,0.768321180228242
"是否為店面TRUE:週數差-177",-14.4863445933869,104.948569827741,-0.138032796608514,0.890214924744739
"是否為店面TRUE:週數差-176",81.9786514900778,142.014638860342,0.577254937575105,0.5637692467919
"是否為店面TRUE:週數差-175",155.58546007341,121.425762347238,1.28132166573093,0.200085271479669
"是否為店面TRUE:週數差-174",-205.932329677328,117.893206789489,-1.74677010902793,0.0806819409273424
"是否為店面TRUE:週數差-173",-212.172968574154,125.871050594049,-1.68563754392136,0.0918704272739614
"是否為店面TRUE:週數差-172",6.31730663898004,117.797687267615,0.0536284436945545,0.957231358935986
"是否為店面TRUE:週數差-171",55.47206417961,121.736047927999,0.455674922291046,0.648625278234763
"是否為店面TRUE:週數差-170",596.635213413584,133.348084362182,4.47426910005759,7.68028403219869e-06
"是否為店面TRUE:週數差-169",658.900360855684,142.873428568334,4.61177678353635,4.00000050507788e-06
"是否為店面TRUE:週數差-168",-8.37128053583736,103.820398977089,-0.0806323286976076,0.935734603266853
"是否為店面TRUE:週數差-167",-242.038161737819,126.197229022817,-1.91793562831761,0.055123545253652
"是否為店面TRUE:週數差-166",262.587686289296,108.458520674417,2.42108858443277,0.0154768226953542
"是否為店面TRUE:週數差-165",-76.2817847137609,112.157780825925,-0.68012922645246,0.49642505954413
"是否為店面TRUE:週數差-164",86.3649030234901,112.070544549328,0.770629815093623,0.440929181181038
"是否為店面TRUE:週數差-163",-19.9797185786455,121.09265111144,-0.164995302318209,0.868948192060426
"是否為店面TRUE:週數差-162",62.6827730607587,107.398581788169,0.583646189894695,0.559460399896648
"是否為店面TRUE:週數差-161",99.9600593450508,114.460514533029,0.873314782419628,0.382494747747072
"是否為店面TRUE:週數差-160",87.0180597990708,126.047149326161,0.69036118836692,0.489969539560277
"是否為店面TRUE:週數差-159",1.40483868054162,114.551170685873,0.0122638526706464,0.990215144169598
"是否為店面TRUE:週數差-158",-118.997120685147,125.928675965527,-0.94495649837312,0.344684593686822
"是否為店面TRUE:週數差-157",126.643894872626,112.681557681765,1.1239096927493,0.26105548464908
"是否為店面TRUE:週數差-156",155.715086179506,107.346883988849,1.45057853934244,0.146902074395536
"是否為店面TRUE:週數差-155",110.34579319097,112.164752769568,0.983783144582549,0.325225805959552
"是否為店面TRUE:週數差-154",97.4100692544126,126.301893787134,0.771247891330793,0.440562812539712
"是否為店面TRUE:週數差-153",-27.2553098784658,107.46680785935,-0.253616073849861,0.799792978604025
"是否為店面TRUE:週數差-152",-171.775869208074,132.698668561812,-1.29448072893105,0.195504014663468
"是否為店面TRUE:週數差-151",48.3377730298951,114.730487121732,0.421315852852674,0.673525847151601
"是否為店面TRUE:週數差-150",195.756853882319,108.928967991971,1.79710555870453,0.0723234981259906
"是否為店面TRUE:週數差-149",-117.279690495062,155.350571218984,-0.754935688841097,0.450290302662071
"是否為店面TRUE:週數差-148",413.544653231538,110.382763097371,3.7464604221471,0.000179501971114002
"是否為店面TRUE:週數差-147",240.918901581586,106.033545415981,2.27210078316665,0.0230836718974111
"是否為店面TRUE:週數差-146",-9.98616145845286,110.483478549909,-0.0903860159864698,0.927980746999094
"是否為店面TRUE:週數差-145",-113.20562250678,110.603848517759,-1.02352335858009,0.30606426600157
"是否為店面TRUE:週數差-144",-83.1810622698977,122.086265958546,-0.681330218569724,0.495664990847715
"是否為店面TRUE:週數差-143",146.872021364336,112.738732175468,1.30276452936992,0.19265977373274
"是否為店面TRUE:週數差-142",-144.263586621044,155.187587172811,-0.929607768567201,0.352577651785764
"是否為店面TRUE:週數差-141",28.5444953573261,121.486170678239,0.234960861783415,0.814239849905974
"是否為店面TRUE:週數差-140",52.5373217705481,108.982606285945,0.482070704316817,0.62975734131558
"是否為店面TRUE:週數差-139",140.019000850878,103.115971933989,1.35787888359829,0.174506826752872
"是否為店面TRUE:週數差-138",87.8007209358071,121.692098310383,0.721498948205051,0.47060517962002
"是否為店面TRUE:週數差-137",132.538513691283,110.391845621921,1.20061869556209,0.229903515606885
"是否為店面TRUE:週數差-136",152.331355374769,109.110405441429,1.39612124763428,0.16268274867463
"是否為店面TRUE:週數差-135",20.1743991519756,114.909307203117,0.175568016577758,0.860633877311672
"是否為店面TRUE:週數差-134",-79.4108174253385,121.493370694382,-0.653622637774182,0.513357265232003
"是否為店面TRUE:週數差-133",0.910486988783492,132.435467837788,0.0068749482570537,0.994514649213271
"是否為店面TRUE:週數差-132",150.729811014047,121.645680565709,1.23908888760442,0.215317050607125
"是否為店面TRUE:週數差-131",380.101751112553,110.665384963291,3.43469415697272,0.000593592612024053
"是否為店面TRUE:週數差-130",529.291789337538,109.004709931838,4.85567815985666,1.2025328604196e-06
"是否為店面TRUE:週數差-129",-47.0390096467195,141.273998846324,-0.332962965802986,0.739163311177297
"是否為店面TRUE:週數差-128",-200.429422500114,107.542262299673,-1.86372704287739,0.062364545781365
"是否為店面TRUE:週數差-127",24.042444572588,115.051630214522,0.208970916168325,0.834471596949968
"是否為店面TRUE:週數差-126",19.5051316490206,110.763468366001,0.176097154926287,0.860218163971083
"是否為店面TRUE:週數差-125",76.3509488134271,121.379049468054,0.629029055245006,0.529332242463231
"是否為店面TRUE:週數差-124",-14.835177427375,115.854580618099,-0.128049986010285,0.898109811154273
"是否為店面TRUE:週數差-123",501.507228685694,115.362211277746,4.34724008088112,1.38070207200337e-05
"是否為店面TRUE:週數差-122",5.00049016663932,108.641502373962,0.0460274393981297,0.963288520831762
"是否為店面TRUE:週數差-121",669.437967136003,114.859066807305,5.82834238292305,5.62437532451337e-09
"是否為店面TRUE:週數差-120",-8.70475355983739,114.729233726426,-0.0758721493825542,0.939521047769563
"是否為店面TRUE:週數差-119",-255.437928258326,246.712550978207,-1.03536657233498,0.300501597810828
"是否為店面TRUE:週數差-118",356.294497365556,133.309387895271,2.67268872050831,0.00752647899232946
"是否為店面TRUE:週數差-117",48.8655129089833,108.772291397627,0.449245964032796,0.653255729414777
"是否為店面TRUE:週數差-116",104.495795432612,102.05013466024,1.02396528706713,0.305855477282049
"是否為店面TRUE:週數差-115",172.51587614817,115.11032619929,1.49870026299373,0.1339562589755
"是否為店面TRUE:週數差-114",55.18565015771,121.088956985849,0.45574469820695,0.648575096226262
"是否為店面TRUE:週數差-113",163.815165827944,112.112156800029,1.46117219134528,0.143973020615612
"是否為店面TRUE:週數差-112",59.877054645063,112.141964134971,0.533939770958503,0.593385028645408
"是否為店面TRUE:週數差-111",112.240469230752,117.197777040571,0.957701349505099,0.33821693382279
"是否為店面TRUE:週數差-110",199.102467978764,109.958789000104,1.81070080699576,0.0701917873581065
"是否為店面TRUE:週數差-109",-111.604980582522,117.427497537094,-0.95041606883658,0.34190441181089
"是否為店面TRUE:週數差-108",-87.5940179014794,105.813311622467,-0.827816619273832,0.407777396860469
"是否為店面TRUE:週數差-107",67.6202342715777,108.247298006195,0.624682883703093,0.532181399150233
"是否為店面TRUE:週數差-106",-99.9902851065293,114.999875579109,-0.869481680767081,0.384586930513557
"是否為店面TRUE:週數差-105",38.3500267280118,110.365313829272,0.347482604791365,0.728229908438701
"是否為店面TRUE:週數差-104",97.9212015837787,114.876259315855,0.852405903247093,0.393991981757789
"是否為店面TRUE:週數差-103",-31.52242747841,121.140079441903,-0.260214683890214,0.794699001448948
