"coef","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %"
"週數差-367",-61.5999643705428,29.4116526933253,-2.0944067649936,0.0362276449878651,-119.246824012287,-3.95310472879905
"週數差-366",-41.8099833128032,27.3085214756538,-1.53102332361998,0.125768522987479,-95.3347043118315,11.7147376862252
"週數差-365",-64.1481905067924,28.033658068988,-2.2882561508359,0.0221258212834704,-119.094179730796,-9.20220128278879
"週數差-364",-49.1256179485094,28.1145343233536,-1.7473388455772,0.08058332812493,-104.230124687063,5.97888879004447
"週數差-363",-51.9156768000362,27.2488477996394,-1.90524300997135,0.0567529233852163,-105.323437352762,1.49208375268957
"週數差-362",-37.6102217274506,27.0499404195701,-1.39039942950264,0.164412407640618,-90.6281236775293,15.407680222628
"週數差-361",-41.4427761643158,27.812499650118,-1.49007736397904,0.136208775438279,-95.9552947342175,13.0697424055859
"週數差-360",-65.8862955331708,27.2463107716314,-2.4181730908601,0.0156014009043742,-119.289083509244,-12.4835075570972
"週數差-359",-39.8296487889342,26.6419742922655,-1.49499614225276,0.134920331578465,-92.0479368470451,12.3886392691767
"週數差-358",-55.7510491136649,28.7214793902865,-1.94109253064867,0.0522513966025144,-112.045168603619,0.543070376288995
"週數差-357",-41.9975373310453,26.9942787345659,-1.55579401635458,0.119761978145665,-94.906342339979,10.9112676778884
"週數差-356",-52.0809695266203,26.5361997844382,-1.96263858237766,0.0496924676228709,-104.091939476158,-0.0699995770826476
"週數差-355",-24.9168868529638,26.869666240281,-0.927324017728598,0.353761790886895,-77.581451286825,27.7476775808973
"週數差-354",-59.5710177533458,31.9357366731337,-1.86534033528216,0.062138242614521,-122.165083743035,3.02304823634327
"週數差-353",-63.7849613781493,27.8969271878734,-2.28645115458724,0.0222310978851583,-118.462957980504,-9.1069647757944
"週數差-352",-81.3478852916384,28.9162931712617,-2.81321968932331,0.00490629278642048,-138.023839927181,-24.6719306560961
"週數差-351",-65.2020129767108,27.1844614965546,-2.39850301926983,0.0164650571826023,-118.483576330813,-11.9204496226084
"週數差-350",-33.587027606578,29.4129332196902,-1.1419135710033,0.253494177830599,-91.2363970808834,24.0623418677273
"週數差-349",-6.44219074000527,28.9144777119788,-0.222801559972026,0.823690657959901,-63.1145870740964,50.2302055940858
"週數差-348",-35.6584818569164,27.7363477303465,-1.28562282978239,0.198579331816167,-90.0217426113431,18.7047788975103
"週數差-347",-36.4347367918182,28.5431034600391,-1.27648126430357,0.201790032541664,-92.3792393349907,19.5097657513543
"週數差-346",-17.8445937643237,26.7591468830332,-0.666859591687437,0.504864204733094,-70.2925401814624,34.603352652815
"週數差-345",-51.7988593318183,27.7386247767026,-1.86739103862581,0.0618515235493044,-106.16658309868,2.56886443504285
"週數差-344",-42.5117977365665,28.4683187421353,-1.49330201483398,0.135363030228166,-98.3097221808711,13.2861267077381
"週數差-343",-56.6337225089278,28.8209134682137,-1.96502177390694,0.0494159942501834,-113.122732860461,-0.14471215739453
"週數差-342",-25.210768156447,27.9609697067916,-0.901641410180541,0.367250746014146,-80.0142881402206,29.5927518273267
"週數差-341",-52.9722420384979,29.0025639649747,-1.82646755309188,0.0677844751184895,-109.817287489446,3.87280341245051
"週數差-340",-30.1692443200829,27.3069287055904,-1.10482012259059,0.269241652561728,-83.6908434886842,23.3523548485183
"週數差-339",-67.8621224504994,28.9024725915304,-2.34796944225408,0.0188790677890697,-124.5109887402,-11.2132561607989
"週數差-338",-71.7737358444992,27.8916912363135,-2.57330167742046,0.0100755446370953,-126.441469978172,-17.1060017108267
