"coef","estimate","se","t_value","lower","upper","NA"
"村里士林區永倫里",-93.8179053818331,44.1310648994841,-2.12589262451561,0.0335159233445329,-180.314798235008,-7.32101252865858
"村里士林區永福里",215.897103724602,47.6974031657135,4.52639115329861,6.01046818088462e-06,122.410187413013,309.384020036192
"村里士林區名山里",-113.560459502983,23.5573206056203,-4.82060168913647,1.43445479852849e-06,-159.732810906088,-67.3881080998775
"村里士林區百齡里",-200.450393400706,46.83919679358,-4.2795437821893,1.875418326329e-05,-292.255225113036,-108.645561688377
"村里士林區岩山里",-47.1316537579619,31.2237019279043,-1.50948320819835,0.131180156847694,-108.330113534285,14.0668060183615
"村里士林區忠誠里",-88.157991616045,18.6612804134661,-4.72411269016834,2.31599722386978e-06,-124.734103615678,-51.5818796164117
"村里士林區承德里",-105.738494623633,20.830970367968,-5.07602347638246,3.86465975749246e-07,-146.56719921188,-64.9097900353862
"村里士林區明勝里",-190.096257186625,32.4944083046545,-5.85012213191756,4.93534845853317e-09,-253.78530162407,-126.40721274918
"村里士林區東山里",116.668824131698,29.9816447079932,3.89134169482683,9.97897784620572e-05,57.9047966654232,175.432851597972
"村里士林區社子里",-158.895909089733,33.5041236722485,-4.74257767921703,2.114584079131e-06,-224.563995776938,-93.2278224025279
"村里士林區社園里",-146.312650555418,44.8619542902666,-3.2613971653741,0.00110921170367435,-234.242086708104,-58.3832144027327
"村里士林區社新里",-89.4324372886411,32.2890552441677,-2.7697446274708,0.00561160152755803,-152.71898970124,-26.1458848760423
"村里士林區芝山里",-3.33615790489013,18.4914186652739,-0.180416547009197,0.856826121837915,-39.5793408563192,32.9070250465389
"村里士林區前港里",-178.96503765228,24.3872148731048,-7.33847791080277,2.18523766932882e-13,-226.763981925908,-131.166093378653
"村里士林區後港里",-82.3347557834216,22.2486166253256,-3.70066854807053,0.000215207780727255,-125.942047217593,-38.7274643492499
"村里士林區富光里",-138.228943849274,45.6494279137219,-3.02805424222465,0.00246229442670478,-227.701828404753,-48.7560592937943
"村里士林區富洲里",-190.485992857053,104.21901185644,-1.82774706326563,0.0675920585800873,-394.755269439037,13.7832837249304
"村里士林區菁山里",250.678336765203,149.296574820501,1.67906287914906,0.0931445496038421,-41.9429689977076,543.299642528114
"村里士林區陽明里",247.314528317192,31.7481719829999,7.78988246786684,6.80495212193661e-15,185.088107165732,309.540949468652
"村里士林區新安里",309.438904652624,49.7867624120607,6.21528473957694,5.15385665326096e-10,211.856843950689,407.020965354559
"村里士林區溪山里",1045.55878061764,207.320879769262,5.04319093079914,4.59048735584702e-07,639.209829726194,1451.90773150909
"村里士林區義信里",69.3484459897693,22.5311208096063,3.07789597223242,0.00208553575301225,25.1874463182379,113.509445661301
"村里士林區聖山里",-82.3490853128457,19.0055413954079,-4.3328986846301,1.47377179260292e-05,-119.599948881161,-45.09822174453
"村里士林區葫東里",-99.3524892987166,36.3945787732309,-2.72987056445321,0.00633760874697756,-170.685868353917,-28.0191102435157
"村里士林區葫蘆里",-92.756781078164,39.5365745320961,-2.34610059611672,0.0189739449727999,-170.248472223017,-15.2650899333114
"村里士林區福中里",-205.271550492004,27.4763799066532,-7.47083681290561,8.06710204829192e-14,-259.125258626899,-151.41784235711
"村里士林區福安里",-198.376673777773,207.032937257027,-0.958188954888336,0.337971015112922,-604.161257308374,207.407909752828
"村里士林區福志里",-127.170112098933,22.7415802771759,-5.59196461059326,2.2540505381944e-08,-171.743612353846,-82.5966118440199
"村里士林區福佳里",-81.4648998030243,25.4148523749345,-3.20540519382947,0.00134936986911404,-131.278013711809,-31.65178589424
"村里士林區福林里",4.34993224877394,28.93218471434,0.150349249174327,0.880489541316679,-52.357153495576,61.0570179931239
"村里士林區福華里",-165.104644921253,31.956731597438,-5.16650598068326,2.39206485972271e-07,-227.739842943714,-102.469446898792
"村里士林區福順里",-69.3231573361198,28.0847417842188,-2.46835658553476,0.0135760320131198,-124.369254828932,-14.2770598433071
"村里士林區福德里",43.4761370829336,29.4253448042393,1.47750646159531,0.139544725588524,-14.1975425007593,101.149816666626
"村里士林區翠山里",-42.3859994502704,52.1240412726459,-0.813175617534361,0.416120326374812,-144.549127018198,59.7771281176575
"村里士林區德行里",-67.3624346729285,18.4963935374095,-3.64192265571589,0.000270817476036627,-103.61536837438,-31.1095009714768
"村里士林區德華里",-196.623824561596,25.5922934277482,-7.68293100095548,1.57635661572942e-14,-246.784722956614,-146.462926166579
"村里士林區臨溪里",11.3151642065998,39.5997514422296,0.285738263360239,0.775079497715835,-66.300353690203,88.9306821034026
"村里士林區舊佳里",-87.5239679629967,24.1753954880028,-3.62037378070737,0.000294398972451419,-134.907746214705,-40.1401897112885
"村里士林區蘭雅里",-78.6037796940754,16.6543875115587,-4.71970402030827,2.36674255737248e-06,-111.246381349024,-45.9611780391269
"村里士林區蘭興里",-64.8993042149479,16.1976166713139,-4.00671935457549,6.16357850106068e-05,-96.6466349645353,-33.1519734653604
"村里大同區大有里",-288.00731852163,41.8536181106522,-6.88130038746469,5.98384616475093e-12,-370.040415377109,-205.974221666152
"村里大同區民權里",-124.492624104971,21.5046719287616,-5.78909664455132,7.10871799480931e-09,-166.641783838628,-82.3434643713132
"村里大同區永樂里",-233.784652062828,25.6420130237649,-9.11725034404115,7.91573327150476e-20,-284.043000872404,-183.526303253252
"村里大同區玉泉里",-242.212818589219,32.0328691405992,-7.5613838250359,4.03971613875687e-14,-304.997246206023,-179.428390972414
"村里大同區光能里",-66.0047726882045,18.2438099086136,-3.61792701298873,0.000297194888514194,-101.762642444877,-30.2469029315316
